Name,Birthday,CountriesActive,YearsActive,ProvenVictims,PossibleVictims,Notes,Type,Nickname
Harold Shipman,1/14/1946,United Kingdom,1975-1998,218,250,"Convicted of 15 murders and responsible for the deaths of 218 patients identified by inquiry but is believed to have killed up to 250 people. He injected diamorphine into his patients and then falsified the medical records, reporting that his patient had been in poor health. Hanged himself in prison.",Medical,Dr Death Angel of Death
Miyuki Ishikawa,,Japan,1940s,103,169,Killed more than 103 newborn children. As a maternity nurse she killed infants born to parents unwilling to care for them during the prohibition of abortion in Japan. Arrested in 1948 and sentenced to four years in prison.,Medical,
Niels Högel,12/30/1976,Germany,1999-2005,100,300,"Nurse who was sentenced to life imprisonment for the murder of more than 85 people. In November 2017, German prosecutors said that the number of victims was at least 106, with Högel admitting, in October 2018, to murdering 100 patients. By May 2019, he was believed to be the most prolific serial killer in peacetime Germany with up to 300 victims over fifteen years.",Medical,
Louay Omar Mohammed al-Taei,,Iraq,2005-2006,43,0,"Medical doctor found to have killed 43 wounded policemen, soldiers and officials in Kirkuk; was a member of an insurgent cell.[303]",Medical,
Donald Harvey,4/15/1952,United States,1970-1987,37,77,Self-professed Angel of Death. Worked as an orderly in Cincinnati-area hospitals and preyed on his patients. Claimed to have killed 87 patients starting at age 18. Active 1970–1987. Sentenced to 28 life sentences in Ohio.,Medical,Angel of Death
Jane Toppan,3/31/1854,United States,1885-1901,31,0,Nurse that confessed to poisoning 31 patients for her own sexual gratification. After overdosing them she would get in bed and lie with them as they died. Found not guilty by reason of insanity and interned in a mental institution until her death in 1938.,Medical,"Angel of Death, Jolly Jane"
Stephan Letter,9/17/1978,Germany,2003-2004,29,29,Nurse who killed 29 patients; sentenced to life imprisonment in 2006.,Medical,
Anders Hansson,,Sweden,1978-1979,27,,"A Nurse Aide who poisoned victims with gevisol and ivisol. His actions were called ""The Hospital Murders"" (Swedish: Sjukhusmorden).",Medical,
Marcel Petiot,1/17/1897,France,1926-1944,26,63,Active 1926 and from 1942 to 1944. Petiot is suspected of having killed up to 63 in total. Executed in 1946. Petiot was a doctor who formerly served as mayor of Villeneuve-Sur-Yonne. Dr. Mike Aamodt from Radford University states he had an IQ of 130.,Medical,"Captain Valery, Docteur Satan"
Arnfinn Nesset,10/25/1936,Norway,1983 and earlier,22,32,"Norwegian nurse and most prolific known serial killer in Scandinavian history, convicted in 1983 of poisoning at least 22 patients with Curacit; however he initially confessed to 27 murders; later he retracted his confessions and claimed he had killed 138 patients. Was released from prison in 2004 after serving 21 years, the maximum punishment possible by Norwegian law.",Medical,
Roger Andermatt,,Switzerland,1995-2001,22,22,Nurse who killed 22 patients; most prolific Swiss serial killer in history; sentenced to life imprisonment.,Medical,Death-Keeper of Lucerne
Charles Cullen,2/22/1960,United States,1988-2003,29,217,"Charles Edmund Cullen an American serial killer worked as a nurse in many hospitals but kept switching jobs as he was fired for suspicious behaviour from many of them. He confessed to murdering 40 elderly patients in New Jersey from 1984 to 2003. He did this by poisoning his patients to death with unprescribed medication. Some have estimated that Cullen may ultimately be responsible for 400 deaths, which would make him the most prolific serial killer in recorded history.",Medical,Angel of Death
Sonya Caleffi,7/21/1970,Italy,2003-2004,5,18,Nurse who poisoned terminally-ill patients; sentenced to 20 years imprisonment.[312],Medical,
Maxim Petrov,11/14/1965,Russia,2000-2002,12,19,Doctor who killed his patients in St. Petersburg. Suspected of 19 murders.,Medical,
Ann Arbor Hospital Killer,,United States,1975,10,10,Poisonings of 10 patients at the Veteran's Administration Hospital in 1975. Filipino nurses Filipina Narciso and Leonora Perez were tried for the crimes.,Medical,
Ludivine Chambet,5/10/1983,France,2012-2013,10,10,Nurse's aide who poisoned elderly patients; sentenced to 25 years imprisonment.,Medical,The Poisoner of Chambéry
Petr Zelenka,2/27/1976,Czech Republic,2006,7,21,Killed his victims with a lethal injection of heparin from May to September 2006. Ten people survived his murder attempt. Suspected of up to 14 additional murders.,Medical,
Orville Lynn Majors,4/24/1961,United States,1993-1995,6,130,"LPN in Vermillion County Ind., Preyed on elderly patients—thought to have killed many of them with injections of potassium chloride. Sentenced to 360 years in Indiana.",Medical,
Efren Saldivar,9/30/1969,United States,1989-1997,6,50,"Respiratory therapist who killed six patients, possibly as many as 120.[318]",Medical,
Christine Malèvre,1/10/1970,France,1998 and earlier,6,30,"Nurse who killed terminally ill patients claiming that they had asked her to help them die, something denied by their families. Sentenced to 12 years in prison for six murders and suspect of 30.",Medical,
Antoinette Scieri,,France,1924-1925,6,12,Nurse who poisoned her elderly patients. Death sentence was commuted to life in prison and she died in prison.,Medical,
